opportunity_id,customer_id,product_id,account_manager_id,stage_id,contract_type_id,opportunity_type,expected_value,probability_percent,renewal_date,created_date
120,36,4,11,3,3,Expansion,19336,86,2025-06-28,2025-02-27
121,75,5,24,4,1,New,55936,20,2025-11-24,2025-10-01
122,1489,2,21,4,2,Expansion,244020,45,2025-11-20,2025-06-26
123,1265,2,30,5,3,Renewal,130171,15,2025-06-02,2025-02-09
124,79,2,20,1,2,Renewal,144383,20,2025-10-07,2025-06-22
125,821,1,6,3,3,New,181152,20,2025-10-08,2025-08-10
126,1170,3,10,5,3,Expansion,151336,41,2025-05-31,2025-01-26
127,969,2,25,4,2,Expansion,205787,33,2025-10-27,2025-05-22
128,94,5,13,2,3,New,84688,44,2025-05-17,2025-01-03
129,39,4,22,2,2,New,80006,69,2025-08-05,2025-06-12
130,461,1,23,3,1,Expansion,26704,88,2025-10-22,2025-05-28
131,862,5,11,5,2,Renewal,134676,81,2025-05-04,2025-01-07
132,655,3,27,4,1,Expansion,131096,73,2025-10-01,2025-04-18
133,349,4,9,4,1,Expansion,183198,83,2025-07-14,2025-02-10
134,708,1,7,5,2,Expansion,89700,47,2025-11-03,2025-06-11
135,958,1,5,5,3,Renewal,53708,89,2025-12-21,2025-06-30
136,851,1,25,3,3,Expansion,205048,72,2025-09-04,2025-05-01
137,270,4,20,1,1,Expansion,113743,37,2025-06-16,2025-04-19
138,593,2,28,2,3,New,115150,80,2025-11-26,2025-07-29
139,857,5,9,3,2,Expansion,175222,23,2025-11-17,2025-06-12
140,1091,4,8,4,2,New,208397,69,2025-10-19,2025-05-27
141,1893,2,13,3,1,Expansion,149635,52,2025-11-08,2025-08-26
142,1859,1,13,5,3,Expansion,119602,63,2025-10-16,2025-07-30
143,60,5,8,2,3,Expansion,172508,74,2025-08-06,2025-02-11
144,838,1,11,5,1,Renewal,53636,82,2025-10-22,2025-08-30
145,47,5,29,4,3,Renewal,144043,34,2025-08-18,2025-03-24
146,1481,2,6,4,3,New,62372,51,2025-06-22,2025-03-09
147,1832,1,7,5,2,New,130374,41,2025-11-15,2025-08-16
148,1993,4,17,1,3,Renewal,229644,52,2025-06-23,2025-03-23
149,1479,1,1,1,3,Renewal,187438,62,2026-02-21,2025-09-24
150,145,4,9,5,1,Renewal,197641,87,2025-11-06,2025-10-01
151,985,1,10,4,3,Expansion,211526,15,2025-11-15,2025-07-06
152,1900,5,21,4,2,Renewal,216418,25,2025-05-01,2025-02-23
153,1553,5,25,1,3,New,54290,56,2025-11-24,2025-07-31
154,1870,2,26,4,1,Renewal,79339,22,2025-08-05,2025-06-18
155,1842,4,25,2,2,Renewal,99769,47,2025-12-08,2025-08-16
156,1433,3,19,3,3,Renewal,19370,27,2025-08-27,2025-03-17
157,54,2,29,3,3,Expansion,105085,47,2025-08-16,2025-06-07
158,1299,3,16,4,3,Expansion,87300,29,2025-05-13,2025-03-07
159,599,4,9,2,1,New,233063,37,2026-02-10,2025-10-26
160,1197,1,9,3,3,Expansion,143324,76,2025-12-26,2025-07-27
161,1844,2,12,2,3,Renewal,233506,74,2025-11-20,2025-06-10
162,775,4,21,2,3,New,136367,32,2026-01-10,2025-09-05
163,1370,1,11,2,2,Expansion,64114,38,2025-06-27,2025-03-18
164,1594,1,21,2,2,Expansion,140754,68,2025-11-21,2025-10-19
165,1733,5,29,2,3,Expansion,63092,56,2025-05-29,2025-01-17
166,203,3,17,1,2,New,155040,78,2025-11-22,2025-10-03
167,915,5,17,2,1,Expansion,77127,33,2025-08-02,2025-05-06
168,1470,4,6,1,3,Expansion,79668,80,2025-07-15,2025-05-23
169,390,1,29,2,3,New,89366,17,2025-07-14,2025-04-17
170,1200,5,16,4,1,New,150753,16,2025-07-31,2025-06-13
171,980,1,15,1,2,New,61746,22,2026-04-03,2025-10-05
172,1226,4,10,5,1,Expansion,162492,65,2025-07-20,2025-02-27
173,399,5,26,5,2,Renewal,10129,42,2025-11-04,2025-07-28
174,1293,2,11,5,2,Expansion,144794,46,2025-09-08,2025-06-03
175,510,3,9,5,3,New,90951,90,2025-10-11,2025-08-14
176,999,1,11,5,2,Renewal,139967,30,2025-05-18,2025-04-02
177,1379,3,4,4,2,New,177217,78,2025-06-22,2025-04-04
178,1563,2,7,3,3,New,90054,50,2026-02-26,2025-09-29
179,1403,3,30,5,1,New,159686,29,2025-08-24,2025-06-15
180,1570,4,26,2,1,Expansion,169940,94,2025-07-13,2025-03-22
181,971,5,26,4,3,Renewal,80617,39,2025-10-12,2025-05-15
182,760,2,10,3,3,Renewal,102781,50,2025-12-05,2025-08-19
183,1154,4,25,4,1,Renewal,209812,61,2025-06-12,2025-01-29
184,1323,2,15,3,1,Renewal,224573,35,2025-07-21,2025-04-17
185,1706,3,1,3,2,Expansion,217334,58,2025-12-05,2025-06-16
186,1514,2,26,2,3,New,141843,66,2025-07-17,2025-05-21
187,498,2,11,4,3,Expansion,165435,70,2025-06-02,2025-01-24
188,1966,4,8,3,3,New,163646,58,2025-03-27,2025-01-31
189,1310,3,9,5,2,New,124851,46,2025-07-26,2025-02-26
190,1804,1,11,4,1,New,239100,29,2025-11-26,2025-06-03
191,1151,1,15,2,2,Expansion,160138,79,2025-11-02,2025-05-14
192,1674,3,23,1,1,Renewal,212401,18,2025-10-10,2025-06-10
193,1531,2,6,3,2,New,69685,68,2025-10-28,2025-07-05
194,1388,3,9,5,3,Renewal,16065,27,2025-07-16,2025-03-03
195,812,4,26,1,3,Expansion,25803,75,2025-08-14,2025-07-11
196,896,1,17,3,3,Expansion,138977,46,2026-02-14,2025-10-22
197,138,1,19,1,3,Expansion,214626,24,2025-12-09,2025-09-30
198,1734,1,19,4,3,Renewal,180439,34,2025-06-27,2025-02-07
199,954,4,29,2,3,Renewal,96620,19,2025-09-28,2025-04-04
200,930,5,25,4,1,Expansion,115241,83,2025-07-01,2025-05-31
201,1697,4,1,1,1,New,94511,64,2025-06-23,2025-03-19
202,1197,3,18,4,3,Expansion,184431,35,2026-02-19,2025-10-22
203,1777,5,5,2,1,New,64039,49,2025-05-28,2025-04-03
204,1093,5,28,1,1,Renewal,151577,54,2025-05-29,2025-02-05
205,1902,2,22,2,1,New,89411,30,2025-11-13,2025-08-06
206,1918,2,25,3,1,New,45995,66,2025-07-09,2025-03-05
207,910,2,13,1,2,Renewal,124962,61,2025-07-03,2025-04-12
208,1209,1,3,2,3,New,249411,84,2025-11-22,2025-09-22
209,1550,2,4,4,3,New,168557,55,2025-10-26,2025-06-12
210,431,1,26,5,2,Renewal,135299,42,2025-11-15,2025-09-18
211,34,1,13,4,2,Renewal,234786,22,2025-10-31,2025-07-01
212,1714,1,14,3,1,New,193819,20,2025-12-16,2025-07-19
213,1949,3,24,3,1,New,46893,41,2025-09-22,2025-04-01
214,263,5,5,2,3,Expansion,133158,14,2025-04-25,2025-02-01
215,1354,3,12,5,2,New,225810,30,2025-10-16,2025-08-03
216,1918,5,5,2,2,Renewal,240444,24,2025-05-01,2025-03-25
217,418,3,13,3,2,Renewal,173030,51,2025-02-20,2025-01-15
218,59,4,2,2,2,New,22189,79,2025-12-24,2025-07-13
219,324,1,1,3,1,Renewal,34149,63,2025-04-02,2025-02-03
220,952,4,28,5,2,Renewal,45233,87,2025-04-20,2025-01-01
221,962,3,5,3,3,Renewal,151554,56,2025-07-21,2025-02-19
222,1534,5,7,2,1,Expansion,144934,26,2025-06-10,2025-03-15
223,169,1,23,4,2,New,242500,88,2025-05-27,2025-02-23
224,514,2,24,3,2,Expansion,196242,69,2026-03-05,2025-09-24
225,1810,3,25,2,2,Expansion,120630,57,2025-09-10,2025-03-16
226,1915,1,24,4,3,New,22587,35,2025-05-07,2025-04-04
227,1300,1,27,2,1,Renewal,114009,51,2025-07-01,2025-01-06
228,991,3,7,5,2,Expansion,128516,37,2025-11-26,2025-08-21
229,901,1,24,3,3,New,211460,75,2025-10-16,2025-06-22
230,523,3,26,4,3,Expansion,129620,94,2025-06-16,2025-02-19
231,539,1,26,3,2,New,178373,13,2025-12-07,2025-10-06
232,466,4,27,1,1,Renewal,154301,47,2025-07-02,2025-03-06
233,927,4,18,1,3,New,57870,60,2025-12-07,2025-09-19
234,1721,2,25,1,1,Expansion,202259,55,2025-12-04,2025-09-27
235,1762,5,17,1,3,New,105068,79,2025-10-10,2025-04-28
236,767,2,4,2,3,Expansion,176281,89,2025-07-03,2025-04-26
237,1930,5,14,2,2,Expansion,22822,61,2025-10-08,2025-06-01
238,1991,4,29,4,2,New,94389,27,2025-07-03,2025-06-03
239,515,5,22,3,1,Renewal,202272,88,2025-03-21,2025-02-04
240,288,2,16,2,1,Expansion,112560,30,2025-12-11,2025-08-03
241,397,2,27,3,1,New,69324,45,2025-07-23,2025-03-13
242,1487,5,22,2,1,New,126229,28,2025-09-12,2025-05-22
243,1305,1,17,3,3,Expansion,36899,90,2025-11-27,2025-08-30
244,898,3,27,1,3,New,204749,88,2025-10-29,2025-08-21
245,1803,3,29,3,1,Renewal,110008,42,2025-07-26,2025-02-27
246,1199,2,29,4,2,Expansion,68886,76,2025-04-15,2025-02-22
247,1236,5,28,3,1,Renewal,237897,95,2026-01-29,2025-09-11
248,117,1,28,3,3,Renewal,202005,45,2025-10-16,2025-05-09
249,860,3,12,1,1,Renewal,36510,72,2025-10-31,2025-05-05
250,454,5,14,3,1,Renewal,214713,72,2026-04-07,2025-10-15
251,1243,5,28,4,1,New,167722,23,2025-08-16,2025-02-20
252,241,2,12,5,3,Expansion,195940,87,2025-12-12,2025-08-04
253,1525,1,12,4,2,Expansion,160298,76,2025-06-01,2025-01-20
254,1525,4,22,1,1,New,158617,33,2025-05-07,2025-01-13
255,599,4,26,1,3,Renewal,129701,42,2025-10-29,2025-07-03
256,1994,2,9,4,1,New,95068,68,2025-07-25,2025-05-15
257,1144,5,21,3,3,New,115203,54,2025-09-03,2025-03-30
258,684,3,20,5,3,New,221066,39,2025-09-28,2025-06-12
259,1873,1,21,4,2,New,173001,73,2025-08-11,2025-04-06
260,543,4,12,3,2,Renewal,244823,56,2025-06-04,2025-03-23
261,33,1,7,5,2,Expansion,248244,74,2026-01-27,2025-10-14
262,1103,2,13,5,3,Expansion,29905,35,2025-04-11,2025-02-17
263,1225,4,28,3,1,Renewal,197665,53,2026-01-28,2025-09-30
264,273,4,4,3,3,Renewal,159450,20,2025-09-10,2025-06-15
265,1692,1,8,5,1,New,184986,45,2025-06-19,2025-01-14
266,1707,2,8,2,2,Renewal,179841,37,2025-04-18,2025-03-16
267,500,1,28,5,2,Expansion,229658,66,2026-01-20,2025-08-01
268,1164,2,14,2,3,Expansion,162278,61,2026-02-28,2025-10-22
269,536,3,26,3,2,Expansion,107053,56,2025-08-20,2025-05-01
270,732,1,23,2,2,New,235429,41,2026-03-30,2025-10-03
271,198,5,23,4,3,Expansion,92178,23,2025-08-24,2025-04-27
272,1438,5,27,2,2,Expansion,80551,83,2025-06-24,2025-01-28
273,897,4,19,4,1,Expansion,54916,12,2026-03-07,2025-10-14
274,1332,1,29,3,2,New,237430,28,2025-06-02,2025-02-02
275,1956,3,19,3,3,Expansion,17229,86,2026-01-27,2025-09-09
276,1566,2,13,2,3,Renewal,128518,49,2026-01-18,2025-10-03
277,477,5,26,5,2,New,47809,79,2026-02-15,2025-10-28
278,1989,5,2,3,3,Renewal,41374,19,2025-07-17,2025-02-02
279,1496,2,24,2,1,Expansion,167686,32,2025-05-10,2025-04-03
280,1903,4,24,1,2,Expansion,33358,22,2026-01-18,2025-07-26
281,1944,4,26,4,2,New,192561,70,2025-07-07,2025-03-12
282,197,3,12,2,3,New,122816,42,2025-11-05,2025-09-13
283,534,4,7,2,2,Renewal,179666,91,2025-06-07,2025-02-11
284,1540,1,17,3,1,New,240503,87,2025-07-23,2025-02-01
285,1399,3,4,2,1,Renewal,148705,11,2025-04-26,2025-01-03
286,628,1,26,5,3,Expansion,108261,18,2025-06-16,2025-03-30
287,1272,4,6,5,1,Expansion,100504,22,2025-07-24,2025-03-21
288,363,4,23,2,3,Expansion,49020,66,2025-02-24,2025-01-16
289,1820,1,26,3,2,New,38252,54,2025-09-12,2025-04-03
290,1844,1,16,2,3,Expansion,50698,88,2025-11-15,2025-06-22
291,1123,4,26,4,1,New,185297,80,2025-05-30,2025-02-03
292,749,2,8,4,1,New,218156,61,2025-05-23,2025-01-22
293,1878,4,26,5,1,Expansion,232238,76,2025-06-08,2025-02-16
294,1154,5,23,5,3,Renewal,113333,79,2025-07-24,2025-04-13
295,278,4,25,2,2,Renewal,174191,64,2025-12-14,2025-07-26
296,169,4,1,4,1,Renewal,94283,81,2026-01-12,2025-09-05
297,1020,3,25,1,3,Renewal,227909,15,2025-05-29,2025-04-07
298,1828,5,24,5,3,Expansion,55444,92,2025-07-22,2025-06-10
299,58,1,10,4,1,Expansion,102213,78,2025-06-17,2025-01-27
300,1042,5,28,2,3,Renewal,107209,15,2025-06-14,2025-04-20
301,1946,2,29,2,3,New,93967,19,2025-09-18,2025-04-15
302,1170,5,1,1,2,New,64009,24,2025-06-29,2025-05-29
303,1351,3,6,4,1,New,107460,61,2025-04-02,2025-01-23
304,1227,2,20,3,2,Expansion,188361,83,2025-08-29,2025-06-08
305,1509,3,14,1,2,New,225889,62,2025-10-22,2025-07-13
306,1673,4,9,5,1,New,174242,60,2025-06-15,2025-01-22
307,1358,2,3,1,1,Expansion,51660,72,2025-04-21,2025-02-04
308,671,2,24,3,3,Renewal,197439,60,2025-11-09,2025-05-26
309,584,5,9,1,1,Renewal,113522,35,2025-08-05,2025-02-14
310,412,2,17,1,2,New,135519,23,2025-05-26,2025-02-27
311,1707,4,6,1,3,Expansion,221395,18,2025-09-22,2025-05-04
312,760,4,24,2,2,New,166500,15,2025-12-02,2025-09-15
313,1485,3,2,5,1,Renewal,50032,53,2025-07-22,2025-05-09
314,947,2,29,1,2,New,109623,29,2025-11-05,2025-05-30
315,462,2,21,2,2,New,182493,66,2025-06-04,2025-01-13
316,1728,2,20,5,2,Renewal,155975,30,2025-09-01,2025-03-15
317,117,1,22,1,2,Expansion,145802,78,2025-03-23,2025-01-09
318,1911,3,12,1,1,Renewal,246327,23,2025-05-31,2025-04-30
319,8,5,2,4,3,Expansion,41363,38,2025-07-12,2025-01-19
320,152,1,21,4,3,Renewal,179027,59,2025-10-01,2025-05-25
321,1865,2,22,4,3,New,75547,54,2026-01-20,2025-08-21
322,931,5,29,3,1,Renewal,47855,46,2025-08-07,2025-03-31
323,1807,2,12,1,2,Renewal,221144,48,2025-04-24,2025-03-15
324,841,5,28,2,2,Renewal,42774,90,2025-09-21,2025-06-30
325,863,4,15,4,2,Renewal,111827,69,2025-10-30,2025-07-06
326,1363,4,5,5,1,New,74489,37,2025-09-30,2025-04-08
327,1942,5,12,4,3,New,236083,62,2025-10-27,2025-07-11
328,805,2,16,1,3,New,180980,67,2025-10-16,2025-06-03
329,409,2,11,5,1,New,182923,59,2026-02-09,2025-09-22
330,1932,4,1,2,2,Expansion,158738,95,2025-07-07,2025-03-30
331,1394,5,25,2,3,Renewal,115349,83,2025-06-19,2025-04-12
332,649,4,8,2,2,Expansion,92893,88,2025-11-07,2025-09-29
333,199,1,3,1,1,Renewal,236033,16,2025-08-11,2025-06-19
334,1908,3,7,2,1,Expansion,90625,18,2025-10-23,2025-07-05
335,1853,4,16,3,3,Expansion,55932,47,2025-07-30,2025-06-05
336,328,2,6,4,1,Expansion,149540,89,2025-10-07,2025-07-29
337,1132,4,23,3,3,Renewal,232296,41,2025-05-06,2025-02-28
338,199,1,5,4,2,Expansion,109449,71,2025-05-03,2025-03-29
339,1410,3,30,4,3,Renewal,159922,33,2025-09-22,2025-08-18
340,1939,5,12,3,1,New,242388,57,2025-04-21,2025-02-05
341,1279,3,22,4,1,Renewal,39090,95,2025-08-01,2025-04-11
342,1457,1,12,5,2,Renewal,14182,89,2025-10-14,2025-08-02
343,1744,3,7,5,2,New,146428,13,2025-12-28,2025-09-08
344,107,2,23,3,2,Renewal,127684,65,2025-08-01,2025-06-22
345,1536,4,22,1,2,Expansion,154513,14,2025-04-09,2025-03-08
346,1175,1,10,4,1,New,247118,70,2025-11-20,2025-07-14
347,1424,3,23,4,2,Expansion,106152,75,2025-12-18,2025-08-06
348,701,2,12,3,3,New,60568,72,2025-08-31,2025-05-25
349,1871,4,30,1,3,New,249427,50,2025-11-16,2025-09-18
350,1661,2,26,1,1,New,29507,32,2025-08-26,2025-07-11
351,1172,2,25,1,1,New,12528,11,2025-08-11,2025-06-24
352,1194,4,21,3,3,Expansion,37743,88,2025-04-17,2025-03-04
353,285,2,30,1,1,Expansion,34039,21,2025-05-22,2025-01-02
354,478,2,2,1,2,Renewal,93992,90,2025-12-17,2025-09-29
355,1675,2,23,4,3,Expansion,195145,33,2025-12-10,2025-08-29
356,1385,5,28,1,2,New,58477,74,2025-02-23,2025-01-04
357,1996,2,9,2,3,New,160846,34,2025-04-23,2025-03-05
358,384,3,25,2,1,Expansion,113459,91,2025-10-14,2025-06-01
359,1312,3,7,4,2,New,226129,54,2025-10-16,2025-05-04
360,1342,3,10,2,1,Expansion,26153,18,2026-01-06,2025-09-10
361,124,5,25,4,1,Renewal,186694,67,2025-02-28,2025-01-07
362,1205,3,23,5,3,Renewal,27269,82,2025-09-03,2025-05-15
363,734,4,12,4,2,Expansion,210124,72,2025-11-26,2025-06-10
364,390,2,19,2,1,Renewal,191106,55,2025-12-25,2025-07-29
365,665,4,15,4,2,New,50025,28,2025-12-01,2025-07-17
366,1789,2,26,3,2,Renewal,238130,90,2025-07-28,2025-03-18
367,29,4,26,2,1,New,165434,33,2025-06-15,2025-04-22
368,802,4,5,3,2,New,61840,12,2026-01-20,2025-09-12
369,622,5,9,2,1,Renewal,137542,87,2026-01-31,2025-09-13
370,1941,2,16,1,2,Expansion,37790,18,2025-11-14,2025-06-15
371,593,2,8,5,2,New,220664,37,2026-01-04,2025-08-02
372,1960,3,21,2,2,Expansion,175271,49,2025-10-08,2025-08-08
373,266,5,10,3,3,Renewal,107872,26,2025-12-30,2025-07-09
374,130,1,15,3,2,Renewal,74516,36,2025-09-14,2025-06-17
375,1299,4,26,3,3,New,99327,83,2025-09-06,2025-06-19
376,1978,3,26,5,1,Renewal,195625,85,2025-08-03,2025-05-02
377,1154,4,29,1,2,Expansion,143945,22,2025-09-21,2025-07-16
378,659,1,17,4,2,Renewal,167967,44,2025-06-29,2025-02-04
379,1593,2,26,3,3,New,47508,56,2025-07-01,2025-01-31
380,458,1,11,3,3,Renewal,136498,81,2025-06-23,2025-03-16
381,993,3,20,5,1,Renewal,226042,92,2025-06-06,2025-04-07
382,1503,1,24,2,3,Renewal,219413,74,2025-08-26,2025-05-25
383,867,1,10,3,1,Expansion,47764,47,2025-02-19,2025-01-13
384,1319,4,3,3,2,Expansion,213370,28,2025-12-22,2025-08-17
385,322,5,15,3,1,Expansion,81710,68,2025-08-10,2025-05-22
386,1243,4,10,2,3,New,43694,51,2025-03-11,2025-01-09
387,1778,3,18,4,2,New,47159,50,2025-12-29,2025-07-12
388,1288,4,21,3,2,Renewal,56661,51,2025-04-30,2025-01-18
389,1159,5,2,5,1,New,199471,26,2025-10-28,2025-09-12
390,287,2,4,5,1,Renewal,197132,40,2025-06-19,2025-02-17
