usage_id,customer_id,product_id,usage_date,active_users,licensed_seats,utilization_percent
72,283,2,2025-06-20,2225,3016,73.77
73,766,5,2025-12-30,3316,3764,88.1
74,786,5,2025-07-30,1297,1485,87.34
75,1156,3,2025-11-19,639,1889,33.83
76,1870,5,2025-10-25,27,1444,1.87
77,1257,3,2025-04-07,2423,3445,70.33
78,794,4,2025-04-28,259,1008,25.69
79,1438,3,2025-03-28,1260,1796,70.16
80,577,1,2025-06-04,121,323,37.46
81,1164,4,2025-04-15,2599,4259,61.02
82,947,5,2025-08-12,1001,1393,71.86
83,1307,1,2025-05-03,27,97,27.84
84,1221,1,2025-11-14,3239,3548,91.29
85,1400,2,2025-07-25,1665,3434,48.49
86,68,3,2025-11-30,4265,4801,88.84
87,958,1,2025-06-30,1413,2762,51.16
88,1904,5,2025-04-22,2873,3841,74.8
89,1707,2,2025-08-14,75,1257,5.97
90,117,1,2025-06-10,385,4071,9.46
91,1615,4,2025-08-29,1179,3327,35.44
92,1679,3,2025-04-15,767,1417,54.13
93,110,5,2025-10-07,197,2043,9.64
94,180,1,2025-09-20,112,354,31.64
95,465,3,2025-01-29,3023,3401,88.89
96,1937,2,2025-09-21,973,1607,60.55
97,1291,1,2025-06-20,505,780,64.74
98,1270,2,2025-01-28,245,476,51.47
99,1076,1,2025-06-06,883,1119,78.91
100,1905,3,2025-09-07,428,926,46.22
101,155,5,2025-11-10,641,707,90.66
102,1589,2,2025-02-03,2228,2363,94.29
103,1015,4,2025-11-30,908,4823,18.83
104,1846,1,2025-10-08,872,1084,80.44
105,1840,4,2025-09-04,2028,4091,49.57
106,1038,5,2025-03-10,302,4022,7.51
107,601,5,2025-12-09,138,2213,6.24
108,474,4,2025-07-23,24,4939,0.49
109,972,5,2025-11-16,301,1488,20.23
110,417,2,2025-10-02,1490,2964,50.27
111,895,5,2025-05-02,255,356,71.63
112,834,2,2025-12-09,317,337,94.07
113,548,1,2025-08-02,2538,2949,86.06
114,425,2,2025-03-17,1801,3226,55.83
115,1937,1,2025-01-13,841,1607,52.33
116,1712,5,2025-02-12,2089,2520,82.9
117,436,3,2025-06-01,3189,4556,70.0
118,1219,2,2025-09-05,2407,4748,50.7
119,169,4,2025-03-22,514,1607,31.99
120,708,3,2025-01-12,1211,1309,92.51
121,1476,2,2025-08-10,3118,3173,98.27
122,1512,5,2025-11-05,2110,3238,65.16
123,123,1,2025-07-25,52,2551,2.04
124,1674,3,2025-09-17,660,1630,40.49
125,124,4,2025-07-26,1991,2217,89.81
126,356,2,2025-12-26,2519,3862,65.23
127,1828,2,2025-02-22,72,128,56.25
128,454,1,2025-10-02,900,1735,51.87
129,1034,4,2025-01-18,87,273,31.87
130,494,5,2025-01-02,894,1140,78.42
131,979,4,2025-06-28,2147,2626,81.76
132,471,4,2025-05-15,823,2202,37.38
133,1486,1,2025-10-14,953,2306,41.33
134,1233,1,2025-06-23,348,1355,25.68
135,1472,2,2025-12-09,1803,3119,57.81
136,1429,5,2025-09-04,686,1573,43.61
137,886,1,2025-03-30,392,2699,14.52
138,1752,4,2025-07-29,327,847,38.61
139,529,2,2025-10-23,1540,4080,37.75
140,232,5,2025-12-21,1226,2300,53.3
141,1706,3,2025-12-31,21,59,35.59
142,501,5,2025-11-27,444,973,45.63
143,87,5,2025-12-20,1326,1402,94.58
144,388,4,2025-12-31,1939,2533,76.55
145,918,4,2025-06-27,2687,3168,84.82
146,1893,4,2025-06-26,2355,3926,59.98
147,1795,3,2025-08-12,21,84,25.0
148,413,1,2025-07-21,3031,4692,64.6
149,1021,3,2025-07-22,920,1150,80.0
150,1528,2,2025-09-19,1935,1985,97.48
151,765,1,2025-07-27,4452,4823,92.31
152,878,2,2025-05-22,2094,3006,69.66
153,794,3,2025-10-26,80,1008,7.94
154,1619,5,2025-09-22,788,2262,34.84
155,1605,5,2025-03-16,2112,4957,42.61
156,1682,5,2025-09-28,1788,2274,78.63
157,1819,5,2025-04-13,630,4249,14.83
158,881,2,2025-03-03,322,1602,20.1
159,1700,3,2025-05-28,99,161,61.49
160,1590,1,2025-01-04,3443,4804,71.67
161,830,3,2025-10-10,697,832,83.77
162,786,3,2025-07-11,906,1485,61.01
163,1648,3,2025-02-10,278,940,29.57
164,1913,2,2025-10-21,2319,3647,63.59
165,655,5,2025-06-30,96,1363,7.04
166,544,4,2025-08-07,337,738,45.66
167,977,3,2025-09-05,240,305,78.69
168,467,2,2025-08-23,519,2301,22.56
169,1351,5,2025-05-24,1940,2027,95.71
170,1426,4,2025-07-01,1507,3769,39.98
171,561,2,2025-09-07,586,4067,14.41
172,224,3,2025-02-26,304,771,39.43
173,1359,3,2025-08-15,2002,4868,41.13
174,515,4,2025-01-28,1750,2204,79.4
175,689,4,2025-10-11,1567,4179,37.5
176,841,3,2025-11-14,2402,4940,48.62
177,61,3,2025-01-30,2361,2881,81.95
178,657,4,2025-05-29,871,954,91.3
179,1314,1,2025-05-28,2111,3697,57.1
180,1310,4,2025-05-27,951,1613,58.96
181,1880,3,2025-09-14,562,1210,46.45
182,473,2,2025-05-15,1087,1742,62.4
183,570,1,2025-11-16,68,1859,3.66
184,494,3,2025-10-11,198,1140,17.37
185,261,3,2025-12-13,1651,2517,65.59
186,1470,3,2025-03-21,326,3829,8.51
187,880,1,2025-08-28,3517,4305,81.7
188,85,4,2025-06-23,678,3244,20.9
189,723,1,2025-04-12,2209,3597,61.41
190,283,3,2025-01-20,785,3016,26.03
191,1563,3,2025-10-27,2524,4980,50.68
192,615,2,2025-02-02,2187,2385,91.7
193,1569,1,2025-06-02,618,1097,56.34
194,705,5,2025-06-08,892,1581,56.42
195,102,1,2025-05-26,1310,3617,36.22
196,372,3,2025-01-13,3271,3842,85.14
197,1462,5,2025-04-14,2602,3668,70.94
198,1068,2,2025-08-17,478,3197,14.95
199,199,3,2025-08-05,755,862,87.59
200,518,2,2025-09-29,393,410,95.85
201,1471,1,2025-08-07,2851,3471,82.14
202,984,4,2025-10-11,425,2731,15.56
203,500,3,2025-02-25,949,3259,29.12
204,426,3,2025-07-10,2337,3168,73.77
205,1979,2,2025-11-21,1939,2296,84.45
206,1971,2,2025-10-15,1474,1888,78.07
207,1955,3,2025-05-31,1447,3062,47.26
208,1412,2,2025-08-14,1358,2294,59.2
209,1869,4,2025-03-16,1153,1566,73.63
210,1242,1,2025-03-07,2030,2642,76.84
211,922,2,2025-09-16,1773,2526,70.19
212,533,2,2025-08-27,2243,2439,91.96
213,262,5,2025-03-04,427,564,75.71
214,1246,4,2025-03-07,52,1049,4.96
215,517,5,2025-04-29,78,892,8.74
216,1328,2,2025-03-02,392,2974,13.18
217,1284,4,2025-10-03,3434,4130,83.15
218,1366,5,2025-08-06,3648,4030,90.52
219,274,2,2025-12-31,1045,1069,97.75
220,779,3,2025-08-18,1435,1514,94.78
221,1248,2,2025-12-01,545,1362,40.01
222,1799,3,2025-11-05,380,3352,11.34
223,1764,4,2025-04-28,103,943,10.92
224,411,1,2025-06-20,519,1519,34.17
225,122,2,2025-08-13,2055,4330,47.46
226,431,4,2025-05-23,1002,2749,36.45
227,906,1,2025-04-25,1651,3519,46.92
228,1100,2,2025-12-01,291,1508,19.3
229,742,4,2025-09-29,3859,4569,84.46
230,747,5,2025-03-29,836,1146,72.95
231,720,2,2025-05-16,70,244,28.69
232,15,4,2025-07-16,433,1302,33.26
233,172,5,2025-12-28,1451,1694,85.66
234,193,3,2025-03-19,75,3722,2.02
235,782,2,2025-03-02,3697,4560,81.07
236,259,4,2025-09-02,268,3892,6.89
237,1778,4,2025-07-27,113,166,68.07
238,961,1,2025-12-01,105,604,17.38
239,1047,3,2025-12-28,113,2141,5.28
240,1358,5,2025-02-05,1875,3951,47.46
241,1283,5,2025-12-15,3001,4830,62.13
242,1751,3,2025-10-19,935,2008,46.56
243,1825,4,2025-01-18,2238,2454,91.2
244,1555,2,2025-04-25,647,1410,45.89
245,778,1,2025-02-17,1265,2307,54.83
246,1417,2,2025-04-27,798,842,94.77
247,1939,4,2025-09-20,437,630,69.37
248,742,2,2025-10-02,3301,4569,72.25
249,39,1,2025-07-21,1937,2186,88.61
250,1612,2,2025-07-07,1681,2505,67.11
251,1802,2,2025-11-07,229,260,88.08
252,220,4,2025-08-31,3902,4148,94.07
253,1045,4,2025-10-06,2482,4393,56.5
254,1467,1,2025-06-25,138,2889,4.78
255,124,4,2025-07-31,974,2217,43.93
256,321,2,2025-07-10,293,368,79.62
257,1997,3,2025-11-19,4021,4465,90.06
258,1109,3,2025-04-17,1644,4180,39.33
259,681,1,2025-08-12,535,848,63.09
260,131,1,2025-04-04,205,2280,8.99
261,685,3,2025-09-12,1380,2818,48.97
262,671,1,2025-03-22,3314,3997,82.91
263,550,3,2025-11-03,513,3425,14.98
264,471,5,2025-05-02,20,2202,0.91
265,1020,4,2025-05-12,149,3001,4.97
266,1582,3,2025-02-22,1200,4144,28.96
267,1129,1,2025-01-18,1086,2438,44.54
268,1008,1,2025-08-08,695,4753,14.62
269,469,3,2025-04-14,1160,4499,25.78
270,1267,4,2025-07-22,1625,3078,52.79
271,1370,2,2025-03-15,549,1137,48.28
272,838,3,2025-07-13,873,3046,28.66
273,1090,3,2025-10-01,3382,3852,87.8
274,1299,1,2025-06-30,1246,1267,98.34
275,855,4,2025-04-24,2780,3825,72.68
276,1086,5,2025-03-30,1758,4335,40.55
277,143,1,2025-07-28,848,1890,44.87
278,1679,3,2025-02-08,1005,1417,70.92
279,1652,5,2025-04-19,965,2227,43.33
280,182,3,2025-06-19,514,4861,10.57
281,1036,2,2025-10-23,1428,2154,66.3
282,525,2,2025-02-06,1746,2037,85.71
283,1137,1,2025-05-30,1064,2646,40.21
284,935,1,2025-10-15,2602,3397,76.6
285,1035,1,2025-12-15,923,2326,39.68
286,1191,1,2025-10-22,231,1026,22.51
287,1681,3,2025-01-24,35,1405,2.49
288,1036,5,2025-03-07,2141,2154,99.4
289,377,2,2025-07-09,239,512,46.68
290,322,2,2025-11-26,1086,1270,85.51
291,1863,4,2025-01-16,170,4388,3.87
292,1224,3,2025-06-11,4068,4535,89.7
293,1938,2,2025-10-18,1922,4626,41.55
294,1228,2,2025-05-24,939,3616,25.97
295,1027,2,2025-12-08,784,3069,25.55
296,1704,2,2025-12-03,193,507,38.07
297,638,1,2025-11-02,597,1431,41.72
298,1438,2,2025-06-14,1037,1796,57.74
299,1101,5,2025-08-02,1468,2987,49.15
300,1450,3,2025-07-20,3537,4436,79.73
301,121,4,2025-03-02,138,747,18.47
302,630,1,2025-03-08,156,2168,7.2
303,299,3,2025-06-15,1358,1897,71.59
304,1884,3,2025-05-27,36,386,9.33
305,920,3,2025-10-19,322,375,85.87
306,1712,4,2025-01-27,496,2520,19.68
307,1206,3,2025-12-28,3074,3256,94.41
308,669,3,2025-01-13,449,568,79.05
309,375,1,2025-01-06,723,876,82.53
310,276,5,2025-12-27,2384,3059,77.93
311,281,3,2025-06-03,1121,3026,37.05
312,266,1,2025-04-23,894,3248,27.52
313,192,3,2025-10-03,886,1088,81.43
314,486,1,2025-05-23,1604,2522,63.6
315,456,3,2025-07-12,226,4059,5.57
316,237,1,2025-03-25,3338,4183,79.8
317,673,2,2025-07-12,2338,4077,57.35
318,1689,4,2025-05-25,90,1144,7.87
319,431,2,2025-08-30,483,2749,17.57
320,1513,5,2025-05-25,2842,3072,92.51
321,1359,3,2025-03-05,4597,4868,94.43
322,1263,3,2025-05-24,1459,1610,90.62
323,1176,4,2025-08-08,1695,3892,43.55
324,447,4,2025-12-09,2638,3780,69.79
325,195,4,2025-08-04,2014,3973,50.69
326,785,3,2025-01-24,452,3198,14.13
327,400,3,2025-07-16,25,124,20.16
328,1776,2,2025-07-10,2020,3628,55.68
329,1765,3,2025-12-23,876,3598,24.35
330,735,2,2025-09-14,40,2760,1.45
331,906,2,2025-12-08,1591,3519,45.21
332,264,5,2025-02-23,538,2940,18.3
333,1131,2,2025-12-17,2309,3801,60.75
334,1799,2,2025-05-26,1787,3352,53.31
335,841,3,2025-07-04,3405,4940,68.93
336,147,5,2025-11-12,46,71,64.79
337,1127,2,2025-06-02,80,1282,6.24
338,1613,1,2025-05-05,899,4897,18.36
339,1629,4,2025-01-05,2133,3800,56.13
340,798,2,2025-10-23,2846,4281,66.48
341,1566,1,2025-04-28,289,3689,7.83
342,279,5,2025-04-11,103,1415,7.28
343,1846,3,2025-03-17,220,1084,20.3
344,589,3,2025-09-05,256,415,61.69
345,900,2,2025-05-11,1495,1869,79.99
346,835,2,2025-01-14,3239,4543,71.3
347,849,3,2025-02-18,77,117,65.81
348,1722,2,2025-12-17,2152,3018,71.31
349,1312,2,2025-03-03,2138,4462,47.92
350,713,4,2025-12-02,2520,4648,54.22
351,1883,1,2025-02-22,504,2763,18.24
352,890,4,2025-01-27,3498,4585,76.29
353,1800,3,2025-04-17,423,1084,39.02
354,1380,1,2025-08-28,1973,2156,91.51
355,698,1,2025-03-18,753,1249,60.29
356,660,5,2025-01-11,1903,3000,63.43
357,1644,3,2025-09-03,1789,3343,53.51
358,1858,5,2025-01-26,1256,4399,28.55
359,423,1,2025-06-07,305,896,34.04
360,1340,5,2025-03-09,2966,3436,86.32
361,109,4,2025-08-09,2053,3721,55.17
362,1384,3,2025-09-28,854,2671,31.97
363,1714,4,2025-06-30,693,2673,25.93
364,141,4,2025-01-25,789,2409,32.75
365,1220,4,2025-10-16,1218,4786,25.45
366,154,4,2025-08-14,3752,3896,96.3
367,1448,1,2025-10-02,716,1603,44.67
368,26,2,2025-02-27,1008,1609,62.65
369,1593,5,2025-05-01,2399,3017,79.52
370,198,4,2025-08-03,1632,3170,51.48
371,1637,4,2025-05-07,285,1142,24.96
372,1928,4,2025-06-13,3070,3952,77.68
373,170,1,2025-06-05,2129,2580,82.52
374,1013,1,2025-07-12,3842,4784,80.31
375,501,2,2025-02-12,935,973,96.09
376,446,5,2025-07-12,747,753,99.2
377,1919,3,2025-05-14,21,140,15.0
378,1767,1,2025-10-11,452,986,45.84
379,1038,3,2025-05-26,2631,4022,65.42
380,1330,2,2025-10-30,824,4653,17.71
381,1380,5,2025-04-10,364,2156,16.88
382,795,5,2025-11-12,2316,3677,62.99
383,1354,4,2025-04-01,1102,4814,22.89
384,721,4,2025-05-24,443,494,89.68
385,1781,5,2025-02-20,230,348,66.09
386,1635,2,2025-02-12,46,109,42.2
387,730,2,2025-04-07,4320,4450,97.08
388,872,5,2025-09-25,760,4567,16.64
389,111,1,2025-01-27,933,3535,26.39
390,15,2,2025-09-05,1033,1302,79.34
391,1770,4,2025-09-14,1165,1798,64.79
392,330,3,2025-09-15,853,3432,24.85
393,742,3,2025-06-09,376,4569,8.23
394,345,5,2025-09-17,281,347,80.98
395,1281,5,2025-06-10,47,1062,4.43
396,1512,4,2025-08-25,240,3238,7.41
397,512,2,2025-01-12,118,142,83.1
398,1459,3,2025-04-24,743,1935,38.4
399,1958,3,2025-07-01,649,677,95.86
400,100,5,2025-10-18,311,614,50.65
401,319,5,2025-03-18,279,1104,25.27
402,1721,2,2025-03-08,561,764,73.43
403,1715,4,2025-01-22,351,601,58.4
404,713,2,2025-04-20,4450,4648,95.74
405,190,2,2025-03-13,1333,1479,90.13
406,1942,3,2025-09-29,320,606,52.81
407,745,3,2025-07-24,1870,4883,38.3
408,1164,5,2025-08-22,2893,4259,67.93
409,197,5,2025-06-14,404,588,68.71
410,1056,4,2025-03-02,2169,2321,93.45
411,78,3,2025-03-07,794,2173,36.54
412,1213,5,2025-04-30,183,356,51.4
413,1914,2,2025-09-05,1363,1563,87.2
414,709,4,2025-03-27,1294,4068,31.81
415,377,2,2025-01-21,444,512,86.72
416,1523,3,2025-10-22,241,374,64.44
417,1495,4,2025-03-04,951,1748,54.41
418,805,3,2025-10-13,2292,4083,56.14
419,1305,3,2025-01-21,2354,3735,63.03
420,1452,2,2025-08-05,552,3905,14.14
421,962,1,2025-08-31,148,1049,14.11
422,408,2,2025-11-15,451,509,88.61
423,236,4,2025-11-27,44,556,7.91
424,36,1,2025-06-16,2978,4169,71.43
425,1720,1,2025-01-01,363,3200,11.34
426,1901,5,2025-06-07,3201,3828,83.62
427,1162,3,2025-11-28,287,1159,24.76
428,625,3,2025-05-05,166,515,32.23
429,1059,5,2025-09-19,735,1228,59.85
430,1240,4,2025-07-15,379,925,40.97
431,531,3,2025-08-10,272,745,36.51
432,1594,2,2025-09-30,160,511,31.31
433,589,2,2025-10-05,218,415,52.53
434,751,3,2025-07-17,355,400,88.75
435,200,1,2025-02-12,174,3439,5.06
436,1935,5,2025-12-04,793,1717,46.19
437,1836,3,2025-10-04,21,353,5.95
438,1240,1,2025-01-01,451,925,48.76
439,1461,5,2025-09-06,2960,4125,71.76
440,165,5,2025-01-23,282,2524,11.17
441,1412,3,2025-07-07,471,2294,20.53
442,304,3,2025-02-22,115,2524,4.56
443,1415,2,2025-03-24,293,4734,6.19
444,1208,5,2025-04-09,269,1100,24.45
445,568,2,2025-05-23,710,3149,22.55
446,380,1,2025-04-17,2162,3549,60.92
447,236,3,2025-03-02,155,556,27.88
448,716,5,2025-05-21,86,252,34.13
449,1587,1,2025-08-12,966,1354,71.34
450,1534,5,2025-08-29,459,2509,18.29
451,332,4,2025-05-24,1228,4354,28.2
452,1480,1,2025-06-08,2877,3211,89.6
453,635,5,2025-11-18,1251,1690,74.02
454,1481,3,2025-02-17,3432,3774,90.94
455,1005,2,2025-05-26,4336,4887,88.73
456,1561,3,2025-01-28,1567,3314,47.28
457,578,1,2025-01-02,53,657,8.07
458,1573,2,2025-04-28,2189,2346,93.31
459,750,3,2025-04-05,945,4044,23.37
460,675,5,2025-11-16,719,3810,18.87
461,1135,1,2025-06-19,1271,1370,92.77
462,504,3,2025-09-18,1625,3908,41.58
463,870,1,2025-07-18,241,1569,15.36
464,1924,1,2025-11-10,189,2531,7.47
465,1083,5,2025-05-28,906,1142,79.33
466,572,3,2025-04-01,100,2800,3.57
467,1134,5,2025-04-21,940,4435,21.2
468,1006,5,2025-02-08,998,4001,24.94
469,192,5,2025-06-21,956,1088,87.87
470,1890,1,2025-06-11,16,55,29.09
471,669,4,2025-07-28,464,568,81.69
472,345,1,2025-04-24,28,347,8.07
473,1465,3,2025-01-28,1672,2784,60.06
474,282,3,2025-02-27,25,335,7.46
475,282,4,2025-06-12,102,335,30.45
476,546,4,2025-05-04,348,3826,9.1
477,178,1,2025-12-12,3409,3912,87.14
478,1043,4,2025-05-19,1098,3161,34.74
479,110,1,2025-04-24,1417,2043,69.36
480,1036,2,2025-01-27,2050,2154,95.17
481,576,1,2025-10-30,11,880,1.25
482,16,5,2025-09-12,4049,4956,81.7
483,227,4,2025-03-18,749,4396,17.04
484,52,2,2025-02-11,1810,2981,60.72
485,505,2,2025-07-26,625,2197,28.45
486,420,3,2025-02-26,2990,3241,92.26
487,6,1,2025-03-03,409,1791,22.84
488,1137,1,2025-09-09,1665,2646,62.93
489,1611,1,2025-05-10,516,861,59.93
490,1213,1,2025-06-21,76,356,21.35
491,1085,1,2025-03-06,3031,3459,87.63
492,1826,3,2025-02-27,2461,2693,91.39
493,1850,2,2025-07-25,293,689,42.53
494,480,1,2025-01-21,4048,4048,100.0
495,1720,5,2025-07-17,2467,3200,77.09
496,22,3,2025-04-19,2562,2819,90.88
497,356,5,2025-09-12,770,3862,19.94
498,662,3,2025-11-21,1373,2742,50.07
499,102,4,2025-08-09,3598,3617,99.47
500,1114,5,2025-08-18,1529,1565,97.7
501,1835,1,2025-12-10,122,196,62.24
502,1696,3,2025-10-15,287,1527,18.8
503,186,4,2025-08-22,1042,1050,99.24
504,201,3,2025-02-15,1731,2610,66.32
505,800,2,2025-05-20,1245,2621,47.5
506,226,3,2025-05-24,1075,1865,57.64
507,34,3,2025-05-01,818,3515,23.27
508,239,5,2025-11-03,3068,3398,90.29
509,597,3,2025-10-04,131,762,17.19
510,657,3,2025-02-27,866,954,90.78
511,273,1,2025-04-06,1424,2393,59.51
512,223,1,2025-08-01,213,220,96.82
513,1706,3,2025-09-15,33,59,55.93
514,1408,2,2025-02-11,1026,1446,70.95
515,1400,4,2025-12-22,205,3434,5.97
516,1803,1,2025-11-23,83,277,29.96
517,1027,3,2025-08-11,1935,3069,63.05
518,143,2,2025-08-31,525,1890,27.78
519,1357,4,2025-02-20,631,3425,18.42
520,1871,3,2025-07-17,2222,3779,58.8
521,873,5,2025-07-23,916,954,96.02
522,890,1,2025-03-04,1341,4585,29.25
523,518,4,2025-07-12,76,410,18.54
524,1937,3,2025-09-02,159,1607,9.89
525,1264,3,2025-11-25,399,1116,35.75
526,1279,1,2025-11-10,456,3876,11.76
527,179,1,2025-06-06,775,3853,20.11
528,1766,2,2025-07-31,2335,2855,81.79
529,950,4,2025-02-03,67,1378,4.86
530,199,3,2025-07-04,237,862,27.49
531,1464,5,2025-01-17,268,1021,26.25
532,1702,3,2025-02-18,626,746,83.91
533,1995,1,2025-01-05,4090,4234,96.6
534,30,1,2025-06-19,2401,3839,62.54
535,1741,5,2025-05-20,1905,2582,73.78
536,196,5,2025-12-10,2542,3683,69.02
537,1382,2,2025-07-05,2325,2563,90.71
538,216,3,2025-06-11,1857,4366,42.53
539,906,2,2025-12-17,466,3519,13.24
540,1339,2,2025-01-11,556,2060,26.99
541,1842,4,2025-09-19,1346,3619,37.19
542,1094,5,2025-05-16,1833,4452,41.17
543,1033,5,2025-12-17,310,553,56.06
544,559,4,2025-06-19,3898,4896,79.62
545,433,5,2025-02-02,1525,3312,46.04
546,1835,3,2025-02-21,88,196,44.9
547,251,5,2025-10-20,33,3832,0.86
548,1443,2,2025-08-28,961,1843,52.14
549,1847,2,2025-12-23,128,1052,12.17
550,200,5,2025-12-01,886,3439,25.76
551,470,2,2025-07-21,3164,3532,89.58
552,1155,5,2025-07-24,56,395,14.18
553,1441,1,2025-04-07,1400,2430,57.61
554,1761,1,2025-05-03,417,1316,31.69
555,1669,5,2025-12-17,2900,3579,81.03
556,662,5,2025-10-31,834,2742,30.42
557,1005,2,2025-09-07,3180,4887,65.07
558,1946,1,2025-05-22,216,536,40.3
559,1603,2,2025-07-08,2814,3370,83.5
560,77,1,2025-05-31,2258,4538,49.76
561,1531,4,2025-07-26,1057,2277,46.42
562,368,3,2025-07-15,3087,3917,78.81
563,368,5,2025-12-15,1563,3917,39.9
564,983,1,2025-11-28,1219,1608,75.81
565,587,1,2025-06-14,1505,4056,37.11
566,1932,4,2025-07-17,526,1141,46.1
567,721,5,2025-09-20,301,494,60.93
568,976,3,2025-03-16,979,1756,55.75
569,1926,2,2025-10-09,4713,4873,96.72
570,786,1,2025-10-19,555,1485,37.37
571,1715,1,2025-10-01,314,601,52.25
572,1831,5,2025-05-16,167,662,25.23
573,1027,1,2025-08-01,2956,3069,96.32
574,1571,1,2025-11-24,432,2043,21.15
575,166,4,2025-12-19,3080,3174,97.04
576,1397,2,2025-05-19,1278,2856,44.75
577,1099,4,2025-07-08,30,495,6.06
578,1482,2,2025-07-23,70,2726,2.57
579,611,5,2025-04-14,221,3789,5.83
580,303,4,2025-11-22,278,1776,15.65
581,793,5,2025-08-01,1301,4197,31.0
582,1269,1,2025-11-14,686,4942,13.88
583,350,1,2025-08-26,12,165,7.27
584,1239,1,2025-02-27,2280,2747,83.0
585,369,2,2025-02-26,3486,3493,99.8
586,1936,2,2025-02-05,2791,4705,59.32
587,1700,4,2025-10-31,145,161,90.06
588,1669,2,2025-08-17,2803,3579,78.32
589,244,1,2025-05-19,1011,3518,28.74
590,184,2,2025-03-07,86,3682,2.34
591,402,1,2025-12-21,112,147,76.19
592,1610,3,2025-09-20,369,1195,30.88
593,409,4,2025-08-30,247,2763,8.94
594,940,3,2025-04-05,2389,4299,55.57
595,644,2,2025-03-25,1821,4312,42.23
596,1116,2,2025-08-29,1443,3538,40.79
597,801,2,2025-12-02,828,1607,51.52
598,430,2,2025-01-24,59,2545,2.32
599,1606,3,2025-06-17,260,1057,24.6
600,1921,1,2025-08-17,2238,2318,96.55
601,283,2,2025-01-15,1156,3016,38.33
602,724,2,2025-11-16,3723,4431,84.02
603,856,5,2025-11-07,1430,2696,53.04
604,435,4,2025-06-26,1832,3040,60.26
605,298,3,2025-10-21,426,1067,39.93
606,1022,3,2025-07-12,609,4037,15.09
607,1745,3,2025-10-31,432,1111,38.88
608,1088,3,2025-12-22,1230,2899,42.43
609,1236,1,2025-12-08,3297,3384,97.43
610,1774,3,2025-08-12,2559,3560,71.88
611,1178,3,2025-02-01,1278,1563,81.77
